id_orden,id_cliente,segmento_cliente,fecha_hora_llegada,tipo_servicio,bolsas_delicada,bolsas_color,bolsas_blanca,bolsas_total,tipos_presentes
O2025-010964,C019,hotel,6/2/2025 14:55,normal,0,0,5,5,1
O2025-010965,C005,hotel,6/2/2025 15:13,normal,0,0,6,6,1
O2025-010966,C042,clínica,6/2/2025 15:42,rápido,1,0,2,3,2
O2025-010967,C011,hotel,6/2/2025 15:50,rápido,0,1,1,2,2
O2025-010968,C035,clínica,6/2/2025 15:50,normal,0,1,3,4,2
O2025-010969,C027,hotel,6/2/2025 15:50,normal,0,0,2,2,1
O2025-010970,C152,restaurante,6/2/2025 15:55,rápido,0,1,1,2,2
O2025-010971,C032,clínica,6/2/2025 16:18,normal,1,0,26,27,2
O2025-010972,C040,clínica,6/2/2025 16:27,normal,0,0,2,2,1
O2025-010973,C043,clínica,6/2/2025 16:53,normal,1,3,3,7,3
O2025-010974,C047,clínica,6/2/2025 17:11,normal,0,0,4,4,1
O2025-010975,C002,hotel,6/2/2025 17:16,normal,0,0,4,4,1
O2025-010976,C004,hotel,6/2/2025 17:33,normal,0,0,6,6,1
O2025-010977,C014,hotel,6/2/2025 17:34,normal,0,0,5,5,1
O2025-010978,C100,gimnasio,6/2/2025 17:45,rápido,3,0,0,3,1
O2025-010979,C007,hotel,6/2/2025 18:14,normal,0,0,6,6,1
O2025-010980,C068,gimnasio,6/2/2025 18:15,normal,0,0,3,3,1
O2025-010981,C030,hotel,6/2/2025 18:44,normal,0,0,5,5,1
O2025-010982,C068,gimnasio,6/2/2025 18:47,normal,2,0,0,2,1
O2025-010983,C004,hotel,6/2/2025 18:56,normal,0,2,6,8,2
O2025-010984,C087,gimnasio,6/2/2025 19:23,normal,0,0,6,6,1
O2025-010985,C137,restaurante,6/2/2025 19:49,normal,0,0,3,3,1
O2025-010986,C074,gimnasio,6/2/2025 19:57,normal,0,1,0,1,1
O2025-010987,C110,restaurante,6/2/2025 21:40,normal,0,2,2,4,2
O2025-010988,C021,hotel,6/3/2025 7:03,normal,0,0,10,10,1
O2025-010989,C074,gimnasio,6/3/2025 7:18,normal,1,6,0,7,2
O2025-010990,C009,hotel,6/3/2025 8:13,normal,0,1,6,7,2
O2025-010991,C106,restaurante,6/3/2025 8:21,normal,0,1,2,3,2
O2025-010992,C009,hotel,6/3/2025 8:26,normal,0,2,11,13,2
O2025-010993,C121,restaurante,6/3/2025 8:28,normal,0,7,0,7,1
O2025-010994,C021,hotel,6/3/2025 8:41,normal,0,3,5,8,2
O2025-010995,C011,hotel,6/3/2025 8:48,normal,0,1,4,5,2
O2025-010996,C030,hotel,6/3/2025 8:53,normal,1,0,2,3,2
O2025-010997,C050,clínica,6/3/2025 8:54,normal,0,0,3,3,1
O2025-010998,C142,restaurante,6/3/2025 8:57,normal,0,0,2,2,1
O2025-010999,C027,hotel,6/3/2025 9:00,normal,1,0,2,3,2
O2025-011000,C087,gimnasio,6/3/2025 9:00,normal,1,3,1,5,3
O2025-011001,C086,gimnasio,6/3/2025 9:01,normal,0,0,4,4,1
O2025-011002,C033,clínica,6/3/2025 9:04,normal,0,0,4,4,1
O2025-011003,C137,restaurante,6/3/2025 9:09,normal,0,0,3,3,1
O2025-011004,C047,clínica,6/3/2025 9:11,normal,1,2,8,11,3
O2025-011005,C057,clínica,6/3/2025 9:11,normal,1,2,4,7,3
O2025-011006,C064,clínica,6/3/2025 9:14,normal,0,0,10,10,1
O2025-011007,C155,restaurante,6/3/2025 9:22,rápido,0,1,1,2,2
O2025-011008,C040,clínica,6/3/2025 9:26,normal,1,0,4,5,2
O2025-011009,C021,hotel,6/3/2025 9:32,normal,0,1,10,11,2
O2025-011010,C016,hotel,6/3/2025 9:44,normal,0,0,6,6,1
O2025-011011,C036,clínica,6/3/2025 9:46,normal,0,1,3,4,2
O2025-011012,C052,clínica,6/3/2025 10:03,normal,0,0,4,4,1
O2025-011013,C130,restaurante,6/3/2025 10:07,rápido,0,3,0,3,1
O2025-011014,C050,clínica,6/3/2025 10:37,normal,0,0,5,5,1
O2025-011015,C035,clínica,6/3/2025 10:37,normal,0,2,5,7,2
O2025-011016,C062,clínica,6/3/2025 10:41,normal,1,0,6,7,2
O2025-011017,C063,clínica,6/3/2025 10:50,normal,0,0,6,6,1
O2025-011018,C063,clínica,6/3/2025 10:53,normal,0,0,5,5,1
O2025-011019,C049,clínica,6/3/2025 10:55,normal,0,1,1,2,2
O2025-011020,C008,hotel,6/3/2025 13:04,normal,0,1,1,2,2
O2025-011021,C081,gimnasio,6/3/2025 13:21,normal,0,2,1,3,2
O2025-011022,C028,hotel,6/3/2025 13:26,normal,0,0,8,8,1
O2025-011023,C056,clínica,6/3/2025 13:34,rápido,0,0,2,2,1
O2025-011024,C012,hotel,6/3/2025 13:46,normal,0,1,6,7,2
O2025-011025,C135,restaurante,6/3/2025 13:50,normal,0,0,3,3,1
O2025-011026,C050,clínica,6/3/2025 14:07,normal,0,0,4,4,1
O2025-011027,C093,gimnasio,6/3/2025 14:09,normal,0,3,0,3,1
O2025-011028,C114,restaurante,6/3/2025 14:09,normal,0,0,4,4,1
O2025-011029,C018,hotel,6/3/2025 14:21,normal,0,0,6,6,1
O2025-011030,C082,gimnasio,6/3/2025 14:22,rápido,0,1,0,1,1
O2025-011031,C119,restaurante,6/3/2025 14:33,normal,0,0,3,3,1
O2025-011032,C160,restaurante,6/3/2025 14:35,rápido,0,1,1,2,2
O2025-011033,C011,hotel,6/3/2025 14:55,normal,0,1,5,6,2
O2025-011034,C047,clínica,6/3/2025 15:02,normal,0,0,4,4,1
O2025-011035,C158,restaurante,6/3/2025 15:19,normal,0,3,0,3,1
O2025-011036,C056,clínica,6/3/2025 15:20,normal,0,0,5,5,1
O2025-011037,C030,hotel,6/3/2025 15:31,normal,0,0,8,8,1
O2025-011038,C156,restaurante,6/3/2025 15:38,normal,0,2,0,2,1
O2025-011039,C006,hotel,6/3/2025 15:53,normal,1,0,5,6,2
O2025-011040,C026,hotel,6/3/2025 16:29,normal,0,0,5,5,1
O2025-011041,C005,hotel,6/3/2025 17:20,normal,0,2,9,11,2
O2025-011042,C054,clínica,6/3/2025 17:24,normal,0,0,2,2,1
O2025-011043,C077,gimnasio,6/3/2025 17:32,normal,0,4,2,6,2
O2025-011044,C052,clínica,6/3/2025 17:42,normal,0,0,3,3,1
O2025-011045,C014,hotel,6/3/2025 17:57,normal,0,0,8,8,1
O2025-011046,C038,clínica,6/3/2025 18:12,normal,0,0,4,4,1
O2025-011047,C010,hotel,6/3/2025 18:21,normal,0,1,9,10,2
O2025-011048,C089,gimnasio,6/3/2025 18:37,normal,1,3,0,4,2
O2025-011049,C009,hotel,6/3/2025 18:54,normal,0,1,9,10,2
O2025-011050,C012,hotel,6/3/2025 18:55,normal,1,1,3,5,3
O2025-011051,C072,gimnasio,6/3/2025 19:06,normal,0,3,0,3,1
O2025-011052,C066,gimnasio,6/3/2025 19:18,normal,0,11,0,11,1
O2025-011053,C046,clínica,6/3/2025 19:40,rápido,0,0,1,1,1
O2025-011054,C049,clínica,6/3/2025 19:41,normal,0,0,3,3,1
O2025-011055,C107,restaurante,6/3/2025 20:28,normal,0,1,0,1,1
O2025-011056,C103,gimnasio,6/4/2025 7:30,rápido,1,1,0,2,2
O2025-011057,C034,clínica,6/4/2025 7:46,normal,0,0,3,3,1
O2025-011058,C153,restaurante,6/4/2025 8:00,normal,1,1,1,3,3
O2025-011059,C077,gimnasio,6/4/2025 8:00,normal,0,3,0,3,1
O2025-011060,C106,restaurante,6/4/2025 8:02,rápido,0,0,2,2,1
O2025-011061,C110,restaurante,6/4/2025 8:06,normal,0,0,2,2,1
O2025-011062,C061,clínica,6/4/2025 8:15,rápido,0,2,3,5,2
O2025-011063,C014,hotel,6/4/2025 8:21,normal,0,0,5,5,1
O2025-011064,C043,clínica,6/4/2025 8:30,normal,0,3,0,3,1
O2025-011065,C010,hotel,6/4/2025 8:33,normal,0,0,8,8,1
O2025-011066,C062,clínica,6/4/2025 8:34,rápido,0,0,3,3,1
O2025-011067,C003,hotel,6/4/2025 8:34,normal,0,0,7,7,1
O2025-011068,C029,hotel,6/4/2025 8:41,normal,0,0,9,9,1
O2025-011069,C007,hotel,6/4/2025 8:42,normal,0,0,6,6,1
O2025-011070,C056,clínica,6/4/2025 8:51,normal,0,0,7,7,1
O2025-011071,C032,clínica,6/4/2025 9:00,normal,0,0,12,12,1
O2025-011072,C041,clínica,6/4/2025 9:21,normal,0,0,5,5,1
O2025-011073,C014,hotel,6/4/2025 9:40,normal,0,0,3,3,1
O2025-011074,C035,clínica,6/4/2025 9:43,normal,0,1,2,3,2
O2025-011075,C049,clínica,6/4/2025 9:45,normal,0,1,2,3,2
O2025-011076,C059,clínica,6/4/2025 9:49,normal,0,1,2,3,2
O2025-011077,C064,clínica,6/4/2025 9:52,rápido,0,2,4,6,2
O2025-011078,C052,clínica,6/4/2025 10:05,normal,0,2,0,2,1
O2025-011079,C126,restaurante,6/4/2025 10:08,normal,0,0,4,4,1
O2025-011080,C061,clínica,6/4/2025 10:09,normal,0,2,2,4,2
O2025-011081,C039,clínica,6/4/2025 10:13,normal,0,4,0,4,1
O2025-011082,C040,clínica,6/4/2025 10:25,normal,0,0,3,3,1
O2025-011083,C043,clínica,6/4/2025 10:38,normal,0,0,5,5,1
O2025-011084,C050,clínica,6/4/2025 10:39,normal,0,0,7,7,1
O2025-011085,C059,clínica,6/4/2025 10:40,normal,0,0,2,2,1
O2025-011086,C143,restaurante,6/4/2025 11:03,rápido,0,1,0,1,1
O2025-011087,C045,clínica,6/4/2025 11:24,rápido,1,1,0,2,2
O2025-011088,C027,hotel,6/4/2025 11:52,normal,0,1,7,8,2
O2025-011089,C081,gimnasio,6/4/2025 12:04,normal,0,0,5,5,1
O2025-011090,C072,gimnasio,6/4/2025 13:00,normal,0,4,0,4,1
O2025-011091,C007,hotel,6/4/2025 13:07,normal,1,0,11,12,2
O2025-011092,C010,hotel,6/4/2025 13:09,normal,0,0,6,6,1
O2025-011093,C009,hotel,6/4/2025 13:27,normal,0,0,2,2,1
O2025-011094,C141,restaurante,6/4/2025 13:30,normal,0,1,1,2,2
O2025-011095,C150,restaurante,6/4/2025 13:36,normal,0,2,0,2,1
O2025-011096,C100,gimnasio,6/4/2025 13:39,normal,0,0,3,3,1
O2025-011097,C006,hotel,6/4/2025 13:54,normal,0,1,8,9,2
O2025-011098,C103,gimnasio,6/4/2025 13:59,normal,0,2,0,2,1
O2025-011099,C077,gimnasio,6/4/2025 14:02,normal,0,2,0,2,1
O2025-011100,C003,hotel,6/4/2025 14:02,normal,1,0,5,6,2
O2025-011101,C012,hotel,6/4/2025 14:28,normal,0,0,4,4,1
O2025-011102,C012,hotel,6/4/2025 14:38,rápido,0,0,4,4,1
O2025-011103,C036,clínica,6/4/2025 14:44,normal,0,0,8,8,1
O2025-011104,C108,restaurante,6/4/2025 14:47,normal,0,0,9,9,1
O2025-011105,C019,hotel,6/4/2025 14:49,normal,0,0,21,21,1
O2025-011106,C129,restaurante,6/4/2025 14:57,normal,0,0,1,1,1
O2025-011107,C027,hotel,6/4/2025 14:59,normal,0,0,6,6,1
O2025-011108,C152,restaurante,6/4/2025 15:02,normal,0,0,4,4,1
O2025-011109,C062,clínica,6/4/2025 15:24,normal,0,0,5,5,1
O2025-011110,C109,restaurante,6/4/2025 15:46,rápido,0,0,2,2,1
O2025-011111,C120,restaurante,6/4/2025 15:51,normal,0,0,5,5,1
O2025-011112,C047,clínica,6/4/2025 15:57,rápido,0,0,5,5,1
O2025-011113,C036,clínica,6/4/2025 16:13,normal,0,0,7,7,1
O2025-011114,C141,restaurante,6/4/2025 16:29,rápido,0,1,1,2,2
O2025-011115,C061,clínica,6/4/2025 16:31,normal,0,5,0,5,1
O2025-011116,C036,clínica,6/4/2025 16:58,normal,0,0,4,4,1
O2025-011117,C044,clínica,6/4/2025 17:14,normal,0,0,5,5,1
O2025-011118,C036,clínica,6/4/2025 17:22,normal,0,0,4,4,1
O2025-011119,C005,hotel,6/4/2025 17:31,normal,0,0,5,5,1
O2025-011120,C047,clínica,6/4/2025 17:37,normal,1,3,13,17,3
O2025-011121,C047,clínica,6/4/2025 17:50,normal,0,1,4,5,2
O2025-011122,C056,clínica,6/4/2025 17:55,normal,0,0,6,6,1
O2025-011123,C065,clínica,6/4/2025 18:02,normal,0,2,8,10,2
O2025-011124,C041,clínica,6/4/2025 18:03,normal,0,3,5,8,2
O2025-011125,C104,gimnasio,6/4/2025 18:04,normal,0,3,0,3,1
O2025-011126,C012,hotel,6/4/2025 18:42,normal,0,0,5,5,1
O2025-011127,C102,gimnasio,6/4/2025 18:48,normal,0,0,6,6,1
O2025-011128,C040,clínica,6/4/2025 18:54,normal,0,0,2,2,1
O2025-011129,C049,clínica,6/4/2025 19:08,normal,0,1,2,3,2
O2025-011130,C074,gimnasio,6/4/2025 19:21,normal,0,2,1,3,2
O2025-011131,C143,restaurante,6/4/2025 20:31,normal,0,1,0,1,1
O2025-011132,C114,restaurante,6/4/2025 20:46,normal,0,2,0,2,1
O2025-011133,C125,restaurante,6/4/2025 21:07,rápido,0,0,3,3,1
O2025-011134,C148,restaurante,6/4/2025 21:31,normal,0,3,0,3,1
O2025-011135,C141,restaurante,6/4/2025 21:48,normal,0,0,2,2,1
O2025-011136,C120,restaurante,6/4/2025 22:06,normal,0,0,2,2,1
O2025-011137,C068,gimnasio,6/5/2025 6:25,normal,0,0,6,6,1
O2025-011138,C146,restaurante,6/5/2025 7:11,normal,0,0,1,1,1
O2025-011139,C102,gimnasio,6/5/2025 7:31,normal,0,3,0,3,1
O2025-011140,C062,clínica,6/5/2025 7:41,rápido,0,1,1,2,2
O2025-011141,C015,hotel,6/5/2025 7:49,normal,0,0,3,3,1
O2025-011142,C140,restaurante,6/5/2025 7:49,normal,0,0,1,1,1
O2025-011143,C109,restaurante,6/5/2025 7:51,normal,1,2,1,4,3
O2025-011144,C003,hotel,6/5/2025 8:09,normal,0,0,6,6,1
O2025-011145,C018,hotel,6/5/2025 8:27,normal,0,1,3,4,2
O2025-011146,C005,hotel,6/5/2025 8:34,normal,0,1,2,3,2
O2025-011147,C157,restaurante,6/5/2025 8:44,normal,0,2,1,3,2
O2025-011148,C012,hotel,6/5/2025 8:55,normal,1,1,5,7,3
O2025-011149,C039,clínica,6/5/2025 8:58,normal,0,1,3,4,2
O2025-011150,C091,gimnasio,6/5/2025 9:07,normal,0,1,3,4,2
O2025-011151,C017,hotel,6/5/2025 9:07,normal,0,0,27,27,1
O2025-011152,C105,gimnasio,6/5/2025 9:09,normal,0,6,1,7,2
O2025-011153,C007,hotel,6/5/2025 9:10,normal,0,1,7,8,2
O2025-011154,C022,hotel,6/5/2025 9:12,normal,0,0,3,3,1
O2025-011155,C149,restaurante,6/5/2025 9:14,normal,0,0,2,2,1
O2025-011156,C005,hotel,6/5/2025 9:17,normal,0,1,4,5,2
O2025-011157,C152,restaurante,6/5/2025 9:19,rápido,0,0,1,1,1
O2025-011158,C154,restaurante,6/5/2025 9:26,normal,0,2,0,2,1
O2025-011159,C109,restaurante,6/5/2025 9:27,normal,0,0,2,2,1
O2025-011160,C142,restaurante,6/5/2025 9:34,normal,0,1,1,2,2
O2025-011161,C035,clínica,6/5/2025 9:35,normal,0,2,3,5,2
O2025-011162,C147,restaurante,6/5/2025 9:46,normal,0,0,1,1,1
O2025-011163,C111,restaurante,6/5/2025 9:46,normal,3,0,0,3,1
O2025-011164,C046,clínica,6/5/2025 10:07,normal,0,0,4,4,1
O2025-011165,C032,clínica,6/5/2025 10:18,rápido,0,0,2,2,1
O2025-011166,C048,clínica,6/5/2025 10:24,normal,0,2,3,5,2
O2025-011167,C107,restaurante,6/5/2025 10:28,rápido,1,0,3,4,2
O2025-011168,C015,hotel,6/5/2025 10:29,normal,0,0,2,2,1
O2025-011169,C112,restaurante,6/5/2025 10:36,normal,0,0,2,2,1
O2025-011170,C006,hotel,6/5/2025 10:41,normal,0,1,10,11,2
O2025-011171,C014,hotel,6/5/2025 11:06,normal,0,0,4,4,1
O2025-011172,C042,clínica,6/5/2025 11:14,normal,0,1,1,2,2
O2025-011173,C103,gimnasio,6/5/2025 13:07,normal,0,1,0,1,1
O2025-011174,C014,hotel,6/5/2025 13:39,normal,1,4,0,5,2
O2025-011175,C059,clínica,6/5/2025 14:05,normal,0,2,4,6,2
O2025-011176,C018,hotel,6/5/2025 14:18,normal,0,0,3,3,1
O2025-011177,C031,clínica,6/5/2025 14:20,normal,0,0,13,13,1
O2025-011178,C003,hotel,6/5/2025 14:29,normal,0,0,10,10,1
O2025-011179,C144,restaurante,6/5/2025 14:30,normal,0,1,2,3,2
O2025-011180,C150,restaurante,6/5/2025 14:31,normal,1,2,1,4,3
O2025-011181,C081,gimnasio,6/5/2025 14:42,normal,0,2,0,2,1
O2025-011182,C012,hotel,6/5/2025 14:46,normal,0,1,9,10,2
O2025-011183,C041,clínica,6/5/2025 14:59,normal,0,0,8,8,1
O2025-011184,C141,restaurante,6/5/2025 15:04,normal,0,1,1,2,2
O2025-011185,C004,hotel,6/5/2025 15:16,normal,1,0,4,5,2
O2025-011186,C061,clínica,6/5/2025 15:29,normal,0,3,0,3,1
O2025-011187,C037,clínica,6/5/2025 15:40,normal,0,1,2,3,2
O2025-011188,C043,clínica,6/5/2025 15:43,normal,0,0,4,4,1
O2025-011189,C027,hotel,6/5/2025 15:57,normal,0,0,4,4,1
O2025-011190,C051,clínica,6/5/2025 16:00,normal,0,2,10,12,2
O2025-011191,C127,restaurante,6/5/2025 16:03,rápido,0,1,1,2,2
O2025-011192,C016,hotel,6/5/2025 16:09,normal,0,2,14,16,2
O2025-011193,C048,clínica,6/5/2025 17:07,normal,0,3,0,3,1
O2025-011194,C081,gimnasio,6/5/2025 17:39,normal,0,2,1,3,2
O2025-011195,C052,clínica,6/5/2025 17:39,rápido,0,0,3,3,1
O2025-011196,C016,hotel,6/5/2025 18:05,normal,0,0,11,11,1
O2025-011197,C063,clínica,6/5/2025 18:07,normal,1,0,6,7,2
O2025-011198,C047,clínica,6/5/2025 18:21,normal,0,1,3,4,2
O2025-011199,C047,clínica,6/5/2025 18:39,normal,0,0,7,7,1
O2025-011200,C073,gimnasio,6/5/2025 19:02,normal,0,0,5,5,1
O2025-011201,C095,gimnasio,6/5/2025 19:12,normal,0,1,1,2,2
O2025-011202,C072,gimnasio,6/5/2025 19:49,normal,0,0,4,4,1
O2025-011203,C116,restaurante,6/5/2025 20:32,normal,0,0,1,1,1
O2025-011204,C082,gimnasio,6/5/2025 20:35,normal,0,2,1,3,2
O2025-011205,C108,restaurante,6/5/2025 21:09,rápido,0,2,0,2,1
O2025-011206,C155,restaurante,6/5/2025 22:23,normal,0,1,1,2,2
O2025-011207,C022,hotel,6/6/2025 6:08,normal,0,1,2,3,2
O2025-011208,C097,gimnasio,6/6/2025 6:51,normal,0,0,2,2,1
O2025-011209,C029,hotel,6/6/2025 6:53,normal,0,0,8,8,1
O2025-011210,C008,hotel,6/6/2025 7:29,normal,0,0,3,3,1
O2025-011211,C029,hotel,6/6/2025 7:29,normal,0,0,14,14,1
O2025-011212,C077,gimnasio,6/6/2025 7:42,normal,0,2,0,2,1
O2025-011213,C002,hotel,6/6/2025 7:57,rápido,0,0,1,1,1
O2025-011214,C083,gimnasio,6/6/2025 8:04,normal,0,2,0,2,1
O2025-011215,C141,restaurante,6/6/2025 8:04,normal,0,1,2,3,2
O2025-011216,C074,gimnasio,6/6/2025 8:07,normal,0,5,0,5,1
O2025-011217,C095,gimnasio,6/6/2025 8:20,normal,0,0,4,4,1
O2025-011218,C008,hotel,6/6/2025 8:22,normal,0,1,2,3,2
O2025-011219,C134,restaurante,6/6/2025 8:25,rápido,0,0,2,2,1
O2025-011220,C005,hotel,6/6/2025 8:26,normal,1,0,6,7,2
O2025-011221,C020,hotel,6/6/2025 8:33,normal,0,1,5,6,2
O2025-011222,C022,hotel,6/6/2025 8:43,normal,0,0,5,5,1
O2025-011223,C014,hotel,6/6/2025 8:54,rápido,1,0,2,3,2
O2025-011224,C028,hotel,6/6/2025 8:57,normal,1,0,9,10,2
O2025-011225,C006,hotel,6/6/2025 8:58,normal,0,0,6,6,1
O2025-011226,C043,clínica,6/6/2025 8:58,normal,0,3,5,8,2
