id_orden,id_cliente,segmento_cliente,fecha_hora_llegada,tipo_servicio,bolsas_delicada,bolsas_color,bolsas_blanca,bolsas_total
O2025-000047,C039,clínica,2025-01-01 15:56:59,normal,0,0,2,2
O2025-000048,C023,hotel,2025-01-01 16:14:52,normal,0,0,4,4
O2025-000049,C016,hotel,2025-01-01 17:00:21,normal,0,2,15,17
O2025-000050,C047,clínica,2025-01-01 17:05:58,rápido,0,2,3,5
O2025-000051,C160,restaurante,2025-01-01 17:08:20,normal,0,1,1,2
O2025-000052,C007,hotel,2025-01-01 17:10:12,normal,0,0,12,12
O2025-000053,C052,clínica,2025-01-01 17:19:10,normal,0,1,3,4
O2025-000054,C041,clínica,2025-01-01 17:20:53,normal,0,5,0,5
O2025-000055,C070,gimnasio,2025-01-01 17:31:15,normal,0,0,6,6
O2025-000056,C104,gimnasio,2025-01-01 17:47:19,normal,0,2,0,2
O2025-000057,C016,hotel,2025-01-01 18:10:10,normal,0,0,7,7
O2025-000058,C052,clínica,2025-01-01 18:16:06,normal,1,2,3,6
O2025-000059,C095,gimnasio,2025-01-01 18:44:53,normal,0,1,1,2
O2025-000060,C076,gimnasio,2025-01-01 19:09:58,normal,0,0,1,1
O2025-000061,C108,restaurante,2025-01-01 20:04:02,normal,0,0,2,2
O2025-000062,C120,restaurante,2025-01-01 20:37:55,normal,0,2,3,5
O2025-000063,C143,restaurante,2025-01-01 20:39:52,normal,0,1,2,3
O2025-000064,C136,restaurante,2025-01-01 20:52:05,normal,0,4,4,8
O2025-000065,C136,restaurante,2025-01-01 21:10:02,normal,0,0,2,2
O2025-000066,C148,restaurante,2025-01-01 21:30:01,normal,0,1,2,3
O2025-000067,C143,restaurante,2025-01-01 21:59:00,normal,0,0,2,2
O2025-000068,C150,restaurante,2025-01-01 21:59:32,rápido,0,1,0,1
O2025-000069,C124,restaurante,2025-01-01 22:00:46,rápido,0,0,2,2
O2025-000070,C087,gimnasio,2025-01-02 05:52:06,normal,0,10,0,10
O2025-000071,C101,gimnasio,2025-01-02 06:23:27,normal,0,0,2,2
O2025-000072,C072,gimnasio,2025-01-02 06:31:11,normal,0,4,0,4
O2025-000073,C102,gimnasio,2025-01-02 07:00:10,normal,0,4,0,4
O2025-000074,C009,hotel,2025-01-02 07:18:10,normal,0,0,3,3
O2025-000075,C150,restaurante,2025-01-02 07:24:15,normal,0,2,0,2
O2025-000076,C085,gimnasio,2025-01-02 07:30:13,normal,0,2,0,2
O2025-000077,C006,hotel,2025-01-02 07:32:38,normal,0,0,7,7
O2025-000078,C092,gimnasio,2025-01-02 07:34:44,normal,0,0,1,1
O2025-000079,C111,restaurante,2025-01-02 07:34:55,rápido,0,1,1,2
O2025-000080,C021,hotel,2025-01-02 07:47:33,normal,0,0,4,4
O2025-000081,C063,clínica,2025-01-02 07:52:21,normal,0,0,4,4
O2025-000082,C069,gimnasio,2025-01-02 07:54:48,normal,1,3,2,6
O2025-000083,C021,hotel,2025-01-02 07:56:39,normal,0,0,3,3
O2025-000084,C008,hotel,2025-01-02 08:01:14,normal,0,0,3,3
O2025-000085,C107,restaurante,2025-01-02 08:23:55,rápido,0,4,0,4
O2025-000086,C143,restaurante,2025-01-02 08:30:41,normal,0,3,0,3
O2025-000087,C025,hotel,2025-01-02 08:44:13,normal,0,0,19,19
O2025-000088,C021,hotel,2025-01-02 08:48:09,normal,1,0,6,7
O2025-000089,C063,clínica,2025-01-02 09:00:07,normal,0,1,6,7
O2025-000090,C057,clínica,2025-01-02 09:03:12,normal,0,0,3,3
O2025-000091,C093,gimnasio,2025-01-02 09:10:02,normal,0,2,1,3
O2025-000092,C121,restaurante,2025-01-02 09:14:35,rápido,0,0,3,3
O2025-000093,C044,clínica,2025-01-02 09:20:22,normal,0,0,3,3
O2025-000094,C018,hotel,2025-01-02 09:22:25,normal,0,0,3,3
O2025-000095,C150,restaurante,2025-01-02 09:26:01,normal,0,1,1,2
O2025-000096,C152,restaurante,2025-01-02 09:31:54,normal,0,1,1,2
O2025-000097,C004,hotel,2025-01-02 09:47:01,normal,0,0,17,17
O2025-000098,C140,restaurante,2025-01-02 09:55:11,normal,0,0,1,1
O2025-000099,C143,restaurante,2025-01-02 09:56:07,rápido,0,2,2,4
O2025-000100,C063,clínica,2025-01-02 10:00:57,normal,0,1,11,12
O2025-000101,C018,hotel,2025-01-02 10:03:58,normal,0,0,8,8
O2025-000102,C134,restaurante,2025-01-02 10:13:37,normal,0,0,3,3
O2025-000103,C052,clínica,2025-01-02 10:22:14,normal,0,0,2,2
O2025-000104,C141,restaurante,2025-01-02 10:27:49,normal,0,0,4,4
O2025-000105,C056,clínica,2025-01-02 10:29:44,normal,0,0,5,5
O2025-000106,C002,hotel,2025-01-02 10:34:45,normal,0,0,12,12
O2025-000107,C149,restaurante,2025-01-02 10:58:25,rápido,0,0,1,1
O2025-000108,C048,clínica,2025-01-02 12:04:38,normal,0,2,2,4
O2025-000109,C098,gimnasio,2025-01-02 12:09:55,normal,0,0,3,3
O2025-000110,C133,restaurante,2025-01-02 12:10:13,normal,0,2,3,5
O2025-000111,C074,gimnasio,2025-01-02 12:13:46,rápido,0,2,0,2
O2025-000112,C080,gimnasio,2025-01-02 12:35:15,rápido,0,3,1,4
O2025-000113,C008,hotel,2025-01-02 12:53:42,normal,0,0,3,3
O2025-000114,C011,hotel,2025-01-02 13:23:03,normal,0,0,5,5
O2025-000115,C106,restaurante,2025-01-02 13:36:36,normal,0,3,3,6
O2025-000116,C057,clínica,2025-01-02 13:57:16,normal,1,0,4,5
O2025-000117,C134,restaurante,2025-01-02 13:58:56,normal,0,1,1,2
O2025-000118,C109,restaurante,2025-01-02 14:17:30,rápido,0,1,0,1
O2025-000119,C010,hotel,2025-01-02 14:18:10,normal,0,0,4,4
O2025-000120,C054,clínica,2025-01-02 14:30:10,normal,0,2,3,5
O2025-000121,C045,clínica,2025-01-02 14:32:54,normal,0,2,0,2
O2025-000122,C005,hotel,2025-01-02 14:40:24,normal,0,5,0,5
O2025-000123,C136,restaurante,2025-01-02 15:00:30,normal,0,0,4,4
O2025-000124,C140,restaurante,2025-01-02 15:00:42,rápido,0,1,2,3
O2025-000125,C027,hotel,2025-01-02 15:10:00,normal,0,0,3,3
O2025-000126,C022,hotel,2025-01-02 15:10:38,normal,0,1,3,4
O2025-000127,C009,hotel,2025-01-02 15:24:10,normal,0,0,11,11
O2025-000128,C038,clínica,2025-01-02 15:27:08,rápido,0,1,2,3
O2025-000129,C006,hotel,2025-01-02 15:42:37,normal,0,1,6,7
O2025-000130,C150,restaurante,2025-01-02 15:47:28,rápido,0,1,1,2
O2025-000131,C148,restaurante,2025-01-02 15:47:40,normal,0,2,0,2
O2025-000132,C134,restaurante,2025-01-02 16:04:21,normal,0,1,1,2
O2025-000133,C011,hotel,2025-01-02 16:10:18,normal,0,0,4,4
O2025-000134,C106,restaurante,2025-01-02 16:25:52,normal,0,2,1,3
O2025-000135,C114,restaurante,2025-01-02 16:41:43,rápido,1,1,1,3
O2025-000136,C033,clínica,2025-01-02 16:42:25,normal,1,0,5,6
O2025-000137,C032,clínica,2025-01-02 17:00:05,normal,0,0,5,5
O2025-000138,C095,gimnasio,2025-01-02 17:34:05,normal,0,4,0,4
O2025-000139,C038,clínica,2025-01-02 17:52:58,normal,0,0,1,1
O2025-000140,C019,hotel,2025-01-02 18:16:14,normal,0,0,5,5
O2025-000141,C075,gimnasio,2025-01-02 18:23:50,normal,0,4,0,4
O2025-000142,C091,gimnasio,2025-01-02 19:03:36,normal,0,2,4,6
O2025-000143,C157,restaurante,2025-01-02 19:22:46,normal,0,1,1,2
O2025-000144,C071,gimnasio,2025-01-02 19:26:43,normal,0,2,1,3
O2025-000145,C045,clínica,2025-01-02 19:41:43,normal,0,0,2,2
O2025-000146,C076,gimnasio,2025-01-02 19:55:37,normal,0,2,0,2
O2025-000147,C110,restaurante,2025-01-02 19:57:18,normal,0,1,1,2
O2025-000148,C077,gimnasio,2025-01-02 20:01:27,normal,0,3,0,3
O2025-000149,C080,gimnasio,2025-01-02 20:02:55,normal,0,2,1,3
O2025-000150,C122,restaurante,2025-01-02 20:35:22,rápido,0,1,1,2
O2025-000151,C130,restaurante,2025-01-02 20:40:25,normal,0,0,5,5
O2025-000152,C124,restaurante,2025-01-02 20:41:27,normal,0,0,5,5
O2025-000153,C153,restaurante,2025-01-02 21:09:36,normal,0,0,1,1
O2025-000154,C117,restaurante,2025-01-02 21:15:11,normal,0,2,2,4
O2025-000155,C106,restaurante,2025-01-02 21:18:36,rápido,0,2,0,2
O2025-000156,C144,restaurante,2025-01-02 21:21:02,rápido,0,1,2,3
O2025-000157,C113,restaurante,2025-01-02 21:24:21,normal,0,1,1,2
O2025-000158,C121,restaurante,2025-01-02 21:30:45,normal,0,2,2,4
O2025-000159,C146,restaurante,2025-01-02 22:46:08,normal,0,1,1,2
O2025-000160,C108,restaurante,2025-01-02 23:22:30,normal,0,1,2,3
O2025-000161,C077,gimnasio,2025-01-03 07:17:34,normal,0,2,1,3
O2025-000162,C144,restaurante,2025-01-03 07:19:24,rápido,0,1,1,2
O2025-000163,C072,gimnasio,2025-01-03 07:30:02,normal,0,4,0,4
O2025-000164,C097,gimnasio,2025-01-03 07:35:15,normal,0,2,3,5
O2025-000165,C103,gimnasio,2025-01-03 07:56:03,normal,0,2,0,2
O2025-000166,C130,restaurante,2025-01-03 08:06:59,normal,1,7,0,8
O2025-000167,C017,hotel,2025-01-03 08:15:46,normal,0,0,6,6
O2025-000168,C016,hotel,2025-01-03 08:17:10,normal,0,0,5,5
O2025-000169,C020,hotel,2025-01-03 08:20:37,normal,0,0,2,2
O2025-000170,C043,clínica,2025-01-03 08:23:03,normal,1,0,3,4
O2025-000171,C004,hotel,2025-01-03 08:39:14,normal,0,0,4,4
O2025-000172,C160,restaurante,2025-01-03 08:43:51,normal,0,0,3,3
O2025-000173,C136,restaurante,2025-01-03 08:44:40,rápido,0,0,2,2
O2025-000174,C153,restaurante,2025-01-03 08:46:32,normal,1,0,3,4
O2025-000175,C006,hotel,2025-01-03 08:48:56,normal,0,0,2,2
O2025-000176,C019,hotel,2025-01-03 08:55:42,normal,0,0,5,5
O2025-000177,C059,clínica,2025-01-03 08:57:21,normal,1,1,4,6
O2025-000178,C056,clínica,2025-01-03 09:02:04,normal,0,0,9,9
O2025-000179,C152,restaurante,2025-01-03 09:10:28,normal,0,3,0,3
O2025-000180,C038,clínica,2025-01-03 09:12:40,normal,0,1,2,3
O2025-000181,C137,restaurante,2025-01-03 09:15:55,normal,0,2,0,2
O2025-000182,C025,hotel,2025-01-03 09:16:05,normal,0,17,0,17
O2025-000183,C119,restaurante,2025-01-03 09:20:28,normal,0,2,0,2
O2025-000184,C001,hotel,2025-01-03 09:29:54,rápido,0,0,7,7
O2025-000185,C053,clínica,2025-01-03 09:30:08,normal,0,0,2,2
O2025-000186,C028,hotel,2025-01-03 09:30:18,normal,0,0,10,10
O2025-000187,C055,clínica,2025-01-03 09:48:21,normal,1,2,3,6
O2025-000188,C047,clínica,2025-01-03 09:53:03,normal,0,0,6,6
O2025-000189,C025,hotel,2025-01-03 09:55:59,normal,0,0,3,3
O2025-000190,C121,restaurante,2025-01-03 09:56:34,normal,0,5,0,5
O2025-000191,C051,clínica,2025-01-03 09:57:07,normal,0,0,9,9
O2025-000192,C009,hotel,2025-01-03 09:58:36,normal,1,0,7,8
O2025-000193,C046,clínica,2025-01-03 10:02:34,normal,0,0,2,2
O2025-000194,C009,hotel,2025-01-03 10:34:27,normal,1,0,5,6
O2025-000195,C002,hotel,2025-01-03 11:06:40,normal,0,2,5,7
O2025-000196,C068,gimnasio,2025-01-03 11:56:49,normal,0,0,5,5
O2025-000197,C047,clínica,2025-01-03 12:19:44,normal,0,0,5,5
O2025-000198,C090,gimnasio,2025-01-03 12:21:21,normal,0,0,3,3
O2025-000199,C095,gimnasio,2025-01-03 12:39:45,normal,0,3,0,3
O2025-000200,C014,hotel,2025-01-03 13:08:00,normal,0,1,2,3
O2025-000201,C004,hotel,2025-01-03 13:12:50,normal,0,0,5,5
O2025-000202,C021,hotel,2025-01-03 13:21:43,rápido,0,0,3,3
O2025-000203,C005,hotel,2025-01-03 13:29:04,normal,1,0,7,8
O2025-000204,C059,clínica,2025-01-03 13:30:53,normal,0,0,3,3
O2025-000205,C084,gimnasio,2025-01-03 13:35:13,normal,6,0,13,19
O2025-000206,C056,clínica,2025-01-03 13:42:02,normal,6,0,0,6
O2025-000207,C007,hotel,2025-01-03 13:43:50,normal,0,0,8,8
O2025-000208,C135,restaurante,2025-01-03 13:44:26,rápido,0,0,2,2
O2025-000209,C026,hotel,2025-01-03 13:46:45,normal,0,0,3,3
O2025-000210,C018,hotel,2025-01-03 13:54:02,normal,0,0,5,5
O2025-000211,C103,gimnasio,2025-01-03 13:58:26,normal,0,1,1,2
O2025-000212,C130,restaurante,2025-01-03 14:02:44,normal,0,0,6,6
O2025-000213,C027,hotel,2025-01-03 14:13:05,normal,0,0,3,3
O2025-000214,C095,gimnasio,2025-01-03 14:15:04,normal,0,1,2,3
O2025-000215,C098,gimnasio,2025-01-03 14:22:50,normal,0,6,4,10
O2025-000216,C004,hotel,2025-01-03 14:28:16,normal,0,1,7,8
O2025-000217,C119,restaurante,2025-01-03 14:34:28,normal,0,1,5,6
O2025-000218,C134,restaurante,2025-01-03 14:35:52,normal,0,2,0,2
O2025-000219,C028,hotel,2025-01-03 14:46:21,normal,0,0,8,8
O2025-000220,C008,hotel,2025-01-03 14:50:43,normal,0,0,3,3
O2025-000221,C047,clínica,2025-01-03 14:55:08,rápido,0,4,0,4
O2025-000222,C094,gimnasio,2025-01-03 14:58:28,normal,0,2,1,3
O2025-000223,C145,restaurante,2025-01-03 15:00:53,normal,0,6,0,6
O2025-000224,C039,clínica,2025-01-03 15:07:03,normal,0,2,0,2
O2025-000225,C002,hotel,2025-01-03 15:13:48,normal,0,0,5,5
O2025-000226,C025,hotel,2025-01-03 15:23:24,normal,0,0,3,3
O2025-000227,C159,restaurante,2025-01-03 15:25:38,normal,0,2,0,2
O2025-000228,C004,hotel,2025-01-03 15:39:26,normal,0,1,3,4
O2025-000229,C033,clínica,2025-01-03 15:49:10,normal,0,0,5,5
O2025-000230,C133,restaurante,2025-01-03 15:50:56,normal,1,0,1,2
O2025-000231,C044,clínica,2025-01-03 16:02:02,normal,1,0,5,6
O2025-000232,C057,clínica,2025-01-03 16:02:09,normal,0,0,5,5
O2025-000233,C051,clínica,2025-01-03 16:37:11,normal,0,0,2,2
O2025-000234,C108,restaurante,2025-01-03 16:44:39,normal,0,1,0,1
O2025-000235,C003,hotel,2025-01-03 16:53:11,normal,0,0,3,3
O2025-000236,C063,clínica,2025-01-03 17:26:54,normal,0,1,6,7
O2025-000237,C011,hotel,2025-01-03 17:37:11,normal,0,0,18,18
O2025-000238,C051,clínica,2025-01-03 17:43:16,normal,0,2,3,5
O2025-000239,C023,hotel,2025-01-03 17:55:48,normal,0,0,4,4
O2025-000240,C098,gimnasio,2025-01-03 18:01:30,normal,0,8,0,8
O2025-000241,C009,hotel,2025-01-03 18:07:54,normal,0,0,10,10
O2025-000242,C048,clínica,2025-01-03 18:17:01,normal,0,1,3,4
O2025-000243,C103,gimnasio,2025-01-03 18:35:55,normal,0,1,1,2
O2025-000244,C065,clínica,2025-01-03 18:42:10,normal,0,0,6,6
O2025-000245,C050,clínica,2025-01-03 18:43:37,normal,0,0,2,2
O2025-000246,C082,gimnasio,2025-01-03 18:47:58,normal,2,3,0,5
O2025-000247,C004,hotel,2025-01-03 18:52:46,normal,0,0,9,9
O2025-000248,C074,gimnasio,2025-01-03 18:54:48,normal,0,3,0,3
O2025-000249,C014,hotel,2025-01-03 18:55:58,normal,0,0,6,6
O2025-000250,C094,gimnasio,2025-01-03 19:16:07,rápido,1,1,1,3
O2025-000251,C075,gimnasio,2025-01-03 19:23:47,normal,0,3,1,4
O2025-000252,C099,gimnasio,2025-01-03 19:26:32,normal,0,2,0,2
O2025-000253,C022,hotel,2025-01-03 19:26:47,normal,0,1,2,3
O2025-000254,C121,restaurante,2025-01-03 20:26:33,normal,0,0,5,5
O2025-000255,C142,restaurante,2025-01-03 22:29:31,rápido,0,0,1,1
O2025-000256,C126,restaurante,2025-01-03 23:30:00,normal,0,1,2,3
O2025-000257,C127,restaurante,2025-01-04 07:54:41,normal,0,2,0,2
O2025-000258,C010,hotel,2025-01-04 08:09:58,normal,0,0,5,5
O2025-000259,C101,gimnasio,2025-01-04 08:13:00,rápido,0,1,1,2
O2025-000260,C084,gimnasio,2025-01-04 08:39:56,normal,0,2,0,2
O2025-000261,C007,hotel,2025-01-04 08:43:46,normal,0,1,5,6
O2025-000262,C156,restaurante,2025-01-04 08:52:28,rápido,0,1,1,2
O2025-000263,C059,clínica,2025-01-04 09:05:22,normal,0,0,7,7
O2025-000264,C113,restaurante,2025-01-04 09:26:56,normal,0,1,1,2
O2025-000265,C047,clínica,2025-01-04 09:31:35,normal,0,0,6,6
O2025-000266,C080,gimnasio,2025-01-04 11:09:07,normal,0,4,0,4
O2025-000267,C089,gimnasio,2025-01-04 12:05:15,normal,0,0,4,4
O2025-000268,C157,restaurante,2025-01-04 12:09:39,normal,0,0,3,3
O2025-000269,C019,hotel,2025-01-04 13:39:36,normal,0,3,7,10
O2025-000270,C067,gimnasio,2025-01-04 13:48:12,normal,1,2,0,3
O2025-000271,C029,hotel,2025-01-04 13:56:59,normal,0,0,9,9
O2025-000272,C094,gimnasio,2025-01-04 14:01:46,normal,0,3,0,3
O2025-000273,C146,restaurante,2025-01-04 14:31:39,normal,0,0,1,1
O2025-000274,C151,restaurante,2025-01-04 14:44:44,normal,0,0,4,4
O2025-000275,C021,hotel,2025-01-04 14:52:09,normal,0,0,4,4
O2025-000276,C023,hotel,2025-01-04 15:01:27,normal,0,0,5,5
O2025-000277,C060,clínica,2025-01-04 15:05:39,normal,0,1,6,7
O2025-000278,C018,hotel,2025-01-04 15:09:39,normal,0,0,3,3
O2025-000279,C137,restaurante,2025-01-04 15:10:13,normal,0,2,0,2
O2025-000280,C021,hotel,2025-01-04 15:10:22,normal,0,0,3,3
O2025-000281,C018,hotel,2025-01-04 15:19:34,normal,0,0,14,14
O2025-000282,C019,hotel,2025-01-04 15:33:24,normal,0,0,4,4
O2025-000283,C155,restaurante,2025-01-04 15:51:25,normal,0,1,2,3
O2025-000284,C137,restaurante,2025-01-04 16:24:12,normal,0,0,2,2
O2025-000285,C059,clínica,2025-01-04 16:46:32,normal,0,0,2,2
O2025-000286,C022,hotel,2025-01-04 17:36:41,normal,0,0,4,4
O2025-000287,C011,hotel,2025-01-04 17:47:32,normal,1,2,5,8
O2025-000288,C032,clínica,2025-01-04 17:47:37,normal,0,3,16,19
O2025-000289,C091,gimnasio,2025-01-04 17:54:30,normal,0,4,0,4
O2025-000290,C024,hotel,2025-01-04 18:11:19,normal,0,3,6,9
O2025-000291,C040,clínica,2025-01-04 18:13:34,normal,1,0,9,10
O2025-000292,C087,gimnasio,2025-01-04 18:17:11,normal,0,4,0,4
O2025-000293,C007,hotel,2025-01-04 18:19:28,normal,0,0,9,9
O2025-000294,C070,gimnasio,2025-01-04 18:57:10,normal,3,0,0,3
O2025-000295,C017,hotel,2025-01-04 18:57:52,normal,0,0,6,6
O2025-000296,C028,hotel,2025-01-04 18:58:14,normal,1,0,6,7
O2025-000297,C005,hotel,2025-01-04 19:03:21,normal,0,0,8,8
O2025-000298,C010,hotel,2025-01-04 19:07:54,normal,0,0,3,3
O2025-000299,C078,gimnasio,2025-01-04 19:10:07,normal,0,1,1,2
O2025-000300,C068,gimnasio,2025-01-04 19:35:14,normal,0,1,2,3
O2025-000301,C022,hotel,2025-01-04 19:36:19,normal,0,0,6,6
O2025-000302,C127,restaurante,2025-01-04 19:53:40,normal,1,0,2,3
O2025-000303,C084,gimnasio,2025-01-04 20:36:48,normal,0,4,1,5
O2025-000304,C157,restaurante,2025-01-04 20:51:44,normal,0,1,2,3
O2025-000305,C148,restaurante,2025-01-04 21:25:58,normal,0,3,3,6
O2025-000306,C138,restaurante,2025-01-04 22:24:22,normal,0,1,1,2
O2025-000307,C142,restaurante,2025-01-04 22:25:38,rápido,1,1,1,3
O2025-000308,C135,restaurante,2025-01-04 22:28:43,normal,0,1,2,3
O2025-000309,C145,restaurante,2025-01-05 06:48:29,normal,0,0,1,1
O2025-000310,C029,hotel,2025-01-05 07:48:28,normal,0,1,6,7
O2025-000311,C010,hotel,2025-01-05 08:05:05,normal,0,1,4,5
O2025-000312,C084,gimnasio,2025-01-05 08:19:29,normal,2,7,0,9
O2025-000313,C074,gimnasio,2025-01-05 08:31:08,rápido,0,2,0,2
O2025-000314,C127,restaurante,2025-01-05 08:41:12,normal,0,1,0,1
O2025-000315,C009,hotel,2025-01-05 08:44:17,normal,0,0,11,11
O2025-000316,C086,gimnasio,2025-01-05 08:44:52,normal,0,3,0,3
O2025-000317,C004,hotel,2025-01-05 08:51:19,normal,0,0,4,4
O2025-000318,C064,clínica,2025-01-05 09:21:32,rápido,0,0,4,4
O2025-000319,C114,restaurante,2025-01-05 09:28:16,normal,0,5,0,5
O2025-000320,C019,hotel,2025-01-05 09:48:57,normal,0,0,7,7
O2025-000321,C144,restaurante,2025-01-05 10:02:03,normal,0,3,3,6
O2025-000322,C141,restaurante,2025-01-05 11:21:33,normal,0,0,1,1
O2025-000323,C083,gimnasio,2025-01-05 12:59:58,normal,1,2,0,3
O2025-000324,C082,gimnasio,2025-01-05 13:10:32,normal,0,2,0,2
O2025-000325,C012,hotel,2025-01-05 13:17:11,normal,0,0,5,5
O2025-000326,C003,hotel,2025-01-05 14:20:26,normal,0,0,5,5
O2025-000327,C020,hotel,2025-01-05 14:39:25,normal,0,0,2,2
O2025-000328,C109,restaurante,2025-01-05 14:44:43,normal,0,1,1,2
O2025-000329,C121,restaurante,2025-01-05 14:58:56,normal,8,0,0,8
O2025-000330,C129,restaurante,2025-01-05 15:23:17,normal,0,0,1,1
O2025-000331,C012,hotel,2025-01-05 15:40:02,normal,0,0,23,23
O2025-000332,C111,restaurante,2025-01-05 16:03:29,normal,1,1,1,3
O2025-000333,C028,hotel,2025-01-05 17:16:11,normal,0,0,12,12
O2025-000334,C008,hotel,2025-01-05 17:59:27,normal,0,0,4,4
O2025-000335,C071,gimnasio,2025-01-05 19:17:00,normal,0,1,1,2
O2025-000336,C157,restaurante,2025-01-05 19:37:24,rápido,0,1,1,2
O2025-000337,C154,restaurante,2025-01-05 21:04:23,normal,0,4,0,4
O2025-000338,C129,restaurante,2025-01-05 21:09:16,rápido,0,1,1,2
O2025-000339,C145,restaurante,2025-01-05 21:16:14,rápido,0,0,2,2
O2025-000340,C159,restaurante,2025-01-05 22:06:20,normal,1,3,2,6
O2025-000341,C155,restaurante,2025-01-05 22:20:57,rápido,0,1,0,1
O2025-000342,C158,restaurante,2025-01-05 22:50:42,normal,0,0,3,3
O2025-000343,C141,restaurante,2025-01-06 06:31:25,normal,0,1,1,2
O2025-000344,C085,gimnasio,2025-01-06 06:50:25,normal,0,2,1,3
O2025-000345,C076,gimnasio,2025-01-06 07:35:56,normal,0,1,1,2
O2025-000346,C141,restaurante,2025-01-06 07:36:22,normal,0,1,1,2
O2025-000347,C074,gimnasio,2025-01-06 07:43:50,rápido,0,2,0,2
O2025-000348,C007,hotel,2025-01-06 07:52:06,normal,0,0,8,8
O2025-000349,C112,restaurante,2025-01-06 08:09:21,rápido,0,2,0,2
O2025-000350,C021,hotel,2025-01-06 08:15:30,normal,0,0,14,14
O2025-000351,C134,restaurante,2025-01-06 08:17:58,normal,1,0,1,2
O2025-000352,C044,clínica,2025-01-06 08:18:11,normal,0,0,10,10
O2025-000353,C056,clínica,2025-01-06 08:23:55,normal,0,0,6,6
O2025-000354,C005,hotel,2025-01-06 08:25:01,normal,0,0,3,3
O2025-000355,C117,restaurante,2025-01-06 08:25:56,normal,0,3,0,3
O2025-000356,C045,clínica,2025-01-06 08:28:30,normal,0,1,1,2
